fixture,family,tier,intended_axis,input_param,swept_unit,swept_value,unit_count,axis_count,storage_read,storage_write,storage_application,merkle_leaf_count,state_diff_count,event,far_call,precompile_call,arith_ptr_op,uma_read,uma_write,keccak256_cycles,ergs_used,pubdata,n_txs,real_l1_batch,bytes,status
900332,sha256,input_bytes=1024,sha256_cycles,input_bytes=1024,rounds_per_call,17,900,15300,35,23,63,54,10,13,965,927,2103,32097,34040,43,1867710,258,1,1261,244072,ok
900333,sha256,input_bytes=8192,sha256_cycles,input_bytes=8192,rounds_per_call,129,900,116100,35,23,63,54,10,13,965,927,2103,234369,236312,149,9057422,260,1,1262,245626,ok
900334,sha256,input_bytes=65536,sha256_cycles,input_bytes=65536,rounds_per_call,1025,900,922500,35,23,63,54,10,13,965,927,2103,1852545,1854488,992,66585728,260,1,1248,254585,ok
900335,storage_read,cold_5k,storage_read,cold_distinct_slots=5000,slots,5000,5000,5034,5034,23,5061,5053,9,13,5065,5027,300,5495,10637,5027,12879070,254,1,1266,2335756,ok
900336,storage_read,cold_12k,storage_read,cold_distinct_slots=12000,slots,12000,12000,12034,12034,23,12061,12053,10,13,12065,12027,300,12495,24637,12027,30729128,259,1,1270,5327390,ok
900337,storage_read,cold_20k,storage_read,cold_distinct_slots=20000,slots,20000,20000,20034,20034,23,20061,20053,9,13,20065,20027,300,20495,40637,20027,51129064,254,1,1271,8720122,ok
900338,storage_read,cold_28k,storage_read,cold_distinct_slots=28000,slots,28000,28000,28034,28034,23,28061,28053,9,13,28065,28027,300,28495,56637,28027,71529070,254,1,1272,12118674,ok
900339,storage_read_warm,warm_20k,storage_read,warm_same_slot=20000,slots,20000,20000,20034,20034,23,62,54,9,13,20065,20027,300,20495,40637,20027,11731028,254,1,1273,244521,ok
900340,storage_read_warm,warm_60k,storage_read,warm_same_slot=60000,slots,60000,60000,60034,60034,23,62,54,9,13,60065,60027,300,60495,120637,60027,34931028,254,1,1274,246019,ok
900341,storage_write,w_500,storage_write,distinct_slots=500,slots,500,500,522,34,522,1059,552,509,13,565,527,300,995,1637,527,3377811,18754,1,1267,625181,ok
900342,storage_write,w_1500,storage_write,distinct_slots=1500,slots,1500,1500,1522,34,1522,3059,1552,1509,13,1565,1527,300,1995,3637,1527,9886411,55754,1,1275,1408350,ok
900343,storage_write,w_3500,storage_write,distinct_slots=3500,slots,3500,3500,3522,34,3522,7059,3552,3509,13,3565,3527,300,3995,7637,3527,22903611,129754,1,1276,3031082,ok
900344,storage_write,w_6000,storage_write,distinct_slots=6000,slots,6000,6000,6022,34,6022,12059,6052,6009,13,6065,6027,300,6495,12637,6027,39175111,222254,1,1277,5189665,ok
900345,storage_write_same,same_20k,storage_write,same_slot=20000,slots,20000,20000,20022,34,20022,61,53,10,13,20065,20027,300,20495,40637,20027,11429411,289,1,1278,247476,ok
900346,storage_read_seeded,seeded_6k,storage_read,cold_nonzero_slots=6000,slots,6000,6000,6034,6034,23,6061,6053,10,13,6065,6027,300,6495,12637,6027,15429198,264,1,1279,3262329,ok
900347,storage_read,empty_6k,storage_read,cold_empty_slots=6000,slots,6000,6000,6034,6034,23,6061,6053,10,13,6065,6027,300,6495,12637,6027,15429128,259,1,1280,3192868,ok
900348,pubdata,msg20_32B,pubdata_bytes,"msgs=20,len=32",payload_len_bytes,32,32,2732,114,82,70,52,9,193,225,127,1101,1420,1721,108,537881,2732,1,1268,242611,ok
900349,pubdata,msg20_1024B,pubdata_bytes,"msgs=20,len=1024",payload_len_bytes,1024,1024,22572,114,82,70,52,9,513,225,127,1741,3362,3023,263,2479223,22572,1,1281,250890,ok
900350,pubdata,msg20_6144B,pubdata_bytes,"msgs=20,len=6144",payload_len_bytes,6144,6144,124974,114,82,70,52,9,2113,225,127,4941,13282,9743,1098,12497583,124974,1,1282,261794,ok
900351,pubdata,msg20_12288B,pubdata_bytes,"msgs=20,len=12288",payload_len_bytes,12288,12288,247854,114,82,70,52,9,4033,225,127,8781,25186,17807,2088,24518649,247854,1,1283,273239,ok
900352,transaction_count,tx1,transaction_count,"txs=1,iters_each=120000",tx_count,1,120000,1,35,23,62,53,10,13,65,27,299,492,633,27,3729227,291,1,1284,246068,ok
900353,transaction_count,tx3,transaction_count,"txs=3,iters_each=40000",tx_count,3,120000,3,95,57,67,55,11,31,185,77,875,1424,1757,77,3897161,297,3,1285,248923,ok
900354,transaction_count,tx6,transaction_count,"txs=6,iters_each=20000",tx_count,6,120000,6,185,108,70,58,11,58,365,152,1739,2822,3443,152,4149056,297,6,1286,251083,ok
900355,transaction_count,tx12,transaction_count,"txs=12,iters_each=10000",tx_count,12,120000,12,365,210,76,64,10,112,725,302,3467,5618,6815,302,4652852,291,12,1287,256739,ok
900356,baseline,ctrl,none,single_touch_tx,slots,1,1,0,35,23,62,53,10,13,65,27,296,489,630,26,128908,286,1,1269,243369,ok
